questionid,questionvalue,responselayout,mustenterflag,regtype,pollingtypecode,adddate,demquestion,responsevalue,responsedefaultvalue
QUES005,What is the primary business of the company/organization you work for? ,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,BUSINESS,Broadcast/ Media,BH. 
QUES005,What is the primary business of the company/organization you work for? ,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,BUSINESS,Business Consulting,AB. 
QUES005,What is the primary business of the company/organization you work for? ,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,BUSINESS,"Content Creation/Management (Includes artists, graphic designers, projection mapping, writers) ",AI. 
QUES005,What is the primary business of the company/organization you work for? ,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,BUSINESS,Creative/Advertising/PR Agency,AE. 
QUES005,What is the primary business of the company/organization you work for? ,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,BUSINESS,Digital Out-of-Home Networks,AP.
QUES005,What is the primary business of the company/organization you work for? ,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,BUSINESS,Distributor/Reseller/Dealer,AD. 
QUES005,What is the primary business of the company/organization you work for? ,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,BUSINESS,Education,BB. 
QUES005,What is the primary business of the company/organization you work for? ,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,BUSINESS,Energy/Utilities,BC. 
QUES005,What is the primary business of the company/organization you work for? ,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,BUSINESS,"Entertainment (Includes theme parks, cinemas, museums)",BN. 
QUES005,What is the primary business of the company/organization you work for? ,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,BUSINESS,"Experience Design Consulting (Includes UX/CX design, acoustical design)",AC. 
QUES005,What is the primary business of the company/organization you work for? ,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,BUSINESS,Finance/Legal/Real Estate,BA. 
QUES005,What is the primary business of the company/organization you work for? ,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,BUSINESS,"Government, Military/Government Contractor",BE. 
QUES005,What is the primary business of the company/organization you work for? ,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,BUSINESS,Hospital/Healthcare,BF. 
QUES005,What is the primary business of the company/organization you work for? ,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,BUSINESS,Hospitality/Gaming (Includes casinos and cruise ships) ,BG. 
QUES005,What is the primary business of the company/organization you work for? ,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,BUSINESS,House of Worship/Religious Organization,BI. 
QUES005,What is the primary business of the company/organization you work for? ,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,BUSINESS,ITÂ Integration/Installation,AL. 
QUES005,What is the primary business of the company/organization you work for? ,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,BUSINESS,Manufacturer Rep or Independent Rep,AH. 
QUES005,What is the primary business of the company/organization you work for? ,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,BUSINESS,"Manufacturing (Consumer Goods, Non-AV)",BP.
QUES005,What is the primary business of the company/organization you work for? ,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,BUSINESS,Rental/Staging/Live Events/Meeting Planning,AJ. 
QUES005,What is the primary business of the company/organization you work for? ,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,BUSINESS,Retail/Restaurant,BK. 
QUES005,What is the primary business of the company/organization you work for? ,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,BUSINESS,Software Development/Independent Programming,AN.
QUES005,What is the primary business of the company/organization you work for? ,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,BUSINESS,Sports/Venues (includes convention centers and arenas),BM. 
QUES005,What is the primary business of the company/organization you work for? ,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,BUSINESS,Transportation,BL. 
QUES005,What is the primary business of the company/organization you work for? ,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,BUSINESS,Video/Film Production,AM. 
QUES005,What is the primary business of the company/organization you work for? ,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,BUSINESS,Other,C. 
QUES005,What is the primary business of the company/organization you work for? ,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,BUSINESS,No Response,x
QUES006,Which markets does your company serve? Please choose all that apply.,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,MARKETS,Banking/Finance,A.
QUES006,Which markets does your company serve? Please choose all that apply.,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,MARKETS,Corporate,P.
QUES006,Which markets does your company serve? Please choose all that apply.,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,MARKETS,Education,B. 
QUES006,Which markets does your company serve? Please choose all that apply.,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,MARKETS,Energy/Utilities,C. 
QUES006,Which markets does your company serve? Please choose all that apply.,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,MARKETS,Factories,D. 
QUES006,Which markets does your company serve? Please choose all that apply.,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,MARKETS,Government/Military,E. 
QUES006,Which markets does your company serve? Please choose all that apply.,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,MARKETS,Healthcare,F.
QUES006,Which markets does your company serve? Please choose all that apply.,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,MARKETS,High Tech,Q.
QUES006,Which markets does your company serve? Please choose all that apply.,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,MARKETS,Hospitality,G.
QUES006,Which markets does your company serve? Please choose all that apply.,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,MARKETS,Religious Organization/House of Worship,I.
QUES006,Which markets does your company serve? Please choose all that apply.,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,MARKETS,Media and Entertainment,H.
QUES006,Which markets does your company serve? Please choose all that apply.,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,MARKETS,Residential,J.
QUES006,Which markets does your company serve? Please choose all that apply.,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,MARKETS,Retail/E-commerce,K.
QUES006,Which markets does your company serve? Please choose all that apply.,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,MARKETS,Transportation,L. 
QUES006,Which markets does your company serve? Please choose all that apply.,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,MARKETS,Venues/Events/Sports ,M.
QUES006,Which markets does your company serve? Please choose all that apply.,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,MARKETS,Other,N.
QUES006,Which markets does your company serve? Please choose all that apply.,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,MARKETS,No Response,x
QUES007,Which company are you representing? (Only enter if you need a second badge),Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,REPCO1,FREE KEY,A
QUES007,Which company are you representing? (Only enter if you need a second badge),Freetext,Y,Attendee/Regtype,Registration,1/3/2022,REPCO1,No Response,X
QUES07B,Enter the City/State of the Company you are representing here,Freetext,Y,Attendee/Regtype,Registration,1/3/2022,REPCST1,FREE KEY,A
QUES07B,Enter the City/State of the Company you are representing here,Freetext,Y,Attendee/Regtype,Registration,1/3/2022,REPCST1,No Response,X
QUES008,For which of the following environments does your company/organization typically design or offer audiovisual solutions? Please choose all that apply.,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,DESIGN,Audio or Video Production Rooms for Broadcast,A.
QUES008,For which of the following environments does your company/organization typically design or offer audiovisual solutions? Please choose all that apply.,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,DESIGN,Boardrooms/GroupÂ Collaboration Spaces,G.
QUES008,For which of the following environments does your company/organization typically design or offer audiovisual solutions? Please choose all that apply.,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,DESIGN,Casinos/Arcades,B. 
QUES008,For which of the following environments does your company/organization typically design or offer audiovisual solutions? Please choose all that apply.,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,DESIGN,Classrooms orÂ CorporateÂ Training Facilities,C. 
QUES008,For which of the following environments does your company/organization typically design or offer audiovisual solutions? Please choose all that apply.,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,DESIGN,Control Rooms,D. 
QUES008,For which of the following environments does your company/organization typically design or offer audiovisual solutions? Please choose all that apply.,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,DESIGN,Cruise Ships,E. 
QUES008,For which of the following environments does your company/organization typically design or offer audiovisual solutions? Please choose all that apply.,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,DESIGN,Dining Facilities,F.
QUES008,For which of the following environments does your company/organization typically design or offer audiovisual solutions? Please choose all that apply.,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,DESIGN,Full-Service Restaurants,Q.
QUES008,For which of the following environments does your company/organization typically design or offer audiovisual solutions? Please choose all that apply.,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,DESIGN,Hotel Guest Rooms,H.
QUES008,For which of the following environments does your company/organization typically design or offer audiovisual solutions? Please choose all that apply.,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,DESIGN,Houses of Worship,I.
QUES008,For which of the following environments does your company/organization typically design or offer audiovisual solutions? Please choose all that apply.,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,DESIGN,Individual Homes,J.
QUES008,For which of the following environments does your company/organization typically design or offer audiovisual solutions? Please choose all that apply.,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,DESIGN,Individual Work Spaces,K.
QUES008,For which of the following environments does your company/organization typically design or offer audiovisual solutions? Please choose all that apply.,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,DESIGN,Large Group Presentation Venues/Auditoriums,L. 
QUES008,For which of the following environments does your company/organization typically design or offer audiovisual solutions? Please choose all that apply.,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,DESIGN,Multi-Household Residences,M.
QUES008,For which of the following environments does your company/organization typically design or offer audiovisual solutions? Please choose all that apply.,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,DESIGN,Museums,N.
QUES008,For which of the following environments does your company/organization typically design or offer audiovisual solutions? Please choose all that apply.,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,DESIGN,Patient Examination/Procedure Rooms,P.
QUES008,For which of the following environments does your company/organization typically design or offer audiovisual solutions? Please choose all that apply.,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,DESIGN,QSR and Fast Casual Restaurants,Z.
QUES008,For which of the following environments does your company/organization typically design or offer audiovisual solutions? Please choose all that apply.,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,DESIGN,Retail Sales Floors,R.
QUES008,For which of the following environments does your company/organization typically design or offer audiovisual solutions? Please choose all that apply.,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,DESIGN,Retail Kiosks ,S.
QUES008,For which of the following environments does your company/organization typically design or offer audiovisual solutions? Please choose all that apply.,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,DESIGN,Salons/Spas/Wellness Centers,Y.
QUES008,For which of the following environments does your company/organization typically design or offer audiovisual solutions? Please choose all that apply.,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,DESIGN,Stadiums or Sports Arenas,T.
QUES008,For which of the following environments does your company/organization typically design or offer audiovisual solutions? Please choose all that apply.,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,DESIGN,Themed Attractions,O.
QUES008,For which of the following environments does your company/organization typically design or offer audiovisual solutions? Please choose all that apply.,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,DESIGN,Train Stations/Airports/Other Travel Hubs,U.
QUES008,For which of the following environments does your company/organization typically design or offer audiovisual solutions? Please choose all that apply.,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,DESIGN,Waiting Areas/Lobbies,V.
QUES008,For which of the following environments does your company/organization typically design or offer audiovisual solutions? Please choose all that apply.,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,DESIGN,"Other, Please Specify",W.
QUES008,For which of the following environments does your company/organization typically design or offer audiovisual solutions? Please choose all that apply.,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,DESIGN,No Response,x
QUES009,How many individuals does your company/organization employ across all locations worldwide?,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,EMPLOYES,1 to 10,A
QUES009,How many individuals does your company/organization employ across all locations worldwide?,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,EMPLOYES,11 to 100,B
QUES009,How many individuals does your company/organization employ across all locations worldwide?,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,EMPLOYES,101 to 250,C
QUES009,How many individuals does your company/organization employ across all locations worldwide?,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,EMPLOYES,251 to 500,D
QUES009,How many individuals does your company/organization employ across all locations worldwide?,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,EMPLOYES,501 to 1000,E
QUES009,How many individuals does your company/organization employ across all locations worldwide?,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,EMPLOYES,1001 to 5000,F
QUES009,How many individuals does your company/organization employ across all locations worldwide?,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,EMPLOYES,5001+,G
QUES009,How many individuals does your company/organization employ across all locations worldwide?,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,EMPLOYES,Don't know/Not sure ,H 
QUES009,How many individuals does your company/organization employ across all locations worldwide?,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,EMPLOYES,No Response,x
QUES010,"On average, what does your company spend annually on audiovisual products, services, and solutions? ",Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,BUDGET,"Less than $100,000",A
QUES010,"On average, what does your company spend annually on audiovisual products, services, and solutions? ",Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,BUDGET,"$100,000 to less than $500,000",B
QUES010,"On average, what does your company spend annually on audiovisual products, services, and solutions? ",Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,BUDGET,"$500,000 to less than $1M",C
QUES010,"On average, what does your company spend annually on audiovisual products, services, and solutions? ",Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,BUDGET,$1M to less than $10M,D
QUES010,"On average, what does your company spend annually on audiovisual products, services, and solutions? ",Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,BUDGET,$10M to less than $25M,E
QUES010,"On average, what does your company spend annually on audiovisual products, services, and solutions? ",Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,BUDGET,$25M to less than $50M,F
QUES010,"On average, what does your company spend annually on audiovisual products, services, and solutions? ",Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,BUDGET,$50M to less than $75M,G
QUES010,"On average, what does your company spend annually on audiovisual products, services, and solutions? ",Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,BUDGET,$75 million or more,H
QUES010,"On average, what does your company spend annually on audiovisual products, services, and solutions? ",Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,BUDGET,Don't know/Not sure,I
QUES010,"On average, what does your company spend annually on audiovisual products, services, and solutions? ",Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,BUDGET,No Response,x
QUES011,In which of the following product areas are you interested or involved? Please choose all that apply.,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,PRODUCTS,AUDIO,A
QUES011,In which of the following product areas are you interested or involved? Please choose all that apply.,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,PRODUCTS,Acoustic Materials/Sound Masking & Speech Privacy Systems,AB
QUES011,In which of the following product areas are you interested or involved? Please choose all that apply.,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,PRODUCTS,Assistive Listening/Language Interpretation and Soundfield Systems,AA
QUES011,In which of the following product areas are you interested or involved? Please choose all that apply.,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,PRODUCTS,Audio Amplifiers,AK
QUES011,In which of the following product areas are you interested or involved? Please choose all that apply.,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,PRODUCTS,Audio Mixers,AM
QUES011,In which of the following product areas are you interested or involved? Please choose all that apply.,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,PRODUCTS,Audio Processing Systems,AN
QUES011,In which of the following product areas are you interested or involved? Please choose all that apply.,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,PRODUCTS,Headphones/Headsets/Earphones/Earsets,AD
QUES011,In which of the following product areas are you interested or involved? Please choose all that apply.,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,PRODUCTS,Loudspeakers,AJ
QUES011,In which of the following product areas are you interested or involved? Please choose all that apply.,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,PRODUCTS,Microphones,AF
QUES011,In which of the following product areas are you interested or involved? Please choose all that apply.,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,PRODUCTS,Multiroom Audio,AG
QUES011,In which of the following product areas are you interested or involved? Please choose all that apply.,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,PRODUCTS,Public Address (PA)/Paging & Background Music Systems,AH
QUES011,In which of the following product areas are you interested or involved? Please choose all that apply.,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,PRODUCTS,CAPTURE AND PRODUCTION,B
QUES011,In which of the following product areas are you interested or involved? Please choose all that apply.,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,PRODUCTS,Camera Control Systems,BB
QUES011,In which of the following product areas are you interested or involved? Please choose all that apply.,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,PRODUCTS,Camera Power Supplies/Supports/Tripods and Accessories,BA
QUES011,In which of the following product areas are you interested or involved? Please choose all that apply.,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,PRODUCTS,Cameras (Video Production/Recording),BK
QUES011,In which of the following product areas are you interested or involved? Please choose all that apply.,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,PRODUCTS,Document Cameras (Visualizers),BD
QUES011,In which of the following product areas are you interested or involved? Please choose all that apply.,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,PRODUCTS,Presentation/Annotation & Training Aids,BE
QUES011,In which of the following product areas are you interested or involved? Please choose all that apply.,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,PRODUCTS,Simulation & Training Systems,BG
QUES011,In which of the following product areas are you interested or involved? Please choose all that apply.,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,PRODUCTS,Video Processing Systems ,BM
QUES011,In which of the following product areas are you interested or involved? Please choose all that apply.,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,PRODUCTS,Video Production Equipment ,BJ
QUES011,In which of the following product areas are you interested or involved? Please choose all that apply.,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,PRODUCTS,CONFERENCING & COLLABORATION,M
QUES011,In which of the following product areas are you interested or involved? Please choose all that apply.,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,PRODUCTS,Audio Conferencing Systems Hardware/Software,GA
QUES011,In which of the following product areas are you interested or involved? Please choose all that apply.,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,PRODUCTS,Cameras (Conferencing),GB
QUES011,In which of the following product areas are you interested or involved? Please choose all that apply.,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,PRODUCTS,Conferencing & Collaboration Installation Services/Support,GC
QUES011,In which of the following product areas are you interested or involved? Please choose all that apply.,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,PRODUCTS,Managed/Hosted/Cloud Communications Services (UCaaS),GD
QUES011,In which of the following product areas are you interested or involved? Please choose all that apply.,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,PRODUCTS,Meeting Room Booking Hardware/Software,GE
QUES011,In which of the following product areas are you interested or involved? Please choose all that apply.,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,PRODUCTS,Mobile/Wireless Applications/Middleware,GF
QUES011,In which of the following product areas are you interested or involved? Please choose all that apply.,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,PRODUCTS,Team Collaboration/Chat Apps,GG
QUES011,In which of the following product areas are you interested or involved? Please choose all that apply.,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,PRODUCTS,Telephony & VoIP Systems,GH
QUES011,In which of the following product areas are you interested or involved? Please choose all that apply.,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,PRODUCTS,Video Conferencing Systems Hardware/Software,GJ
QUES011,In which of the following product areas are you interested or involved? Please choose all that apply.,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,PRODUCTS,CONTROL,C
QUES011,In which of the following product areas are you interested or involved? Please choose all that apply.,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,PRODUCTS,Control Systems/Panels & Interfaces ,CA
QUES011,In which of the following product areas are you interested or involved? Please choose all that apply.,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,PRODUCTS,IP-Controllable Devices,CC
QUES011,In which of the following product areas are you interested or involved? Please choose all that apply.,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,PRODUCTS,Voice Control,CB
QUES011,In which of the following product areas are you interested or involved? Please choose all that apply.,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,PRODUCTS,"DIGITAL SIGNAGE, DISPLAYS & PROJECTORS",N
QUES011,In which of the following product areas are you interested or involved? Please choose all that apply.,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,PRODUCTS,Content Creation Software,MA
QUES011,In which of the following product areas are you interested or involved? Please choose all that apply.,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,PRODUCTS,Digital Signage Software,MB
QUES011,In which of the following product areas are you interested or involved? Please choose all that apply.,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,PRODUCTS,Direct-View LED Displays,MC
QUES011,In which of the following product areas are you interested or involved? Please choose all that apply.,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,PRODUCTS,Displays/Monitors ,MD
QUES011,In which of the following product areas are you interested or involved? Please choose all that apply.,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,PRODUCTS,Media Players,ME
QUES011,In which of the following product areas are you interested or involved? Please choose all that apply.,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,PRODUCTS,Projection Screens (Installed or Portable),MF
QUES011,In which of the following product areas are you interested or involved? Please choose all that apply.,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,PRODUCTS,Projectors,MG
QUES011,In which of the following product areas are you interested or involved? Please choose all that apply.,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,PRODUCTS,Touchscreens & Interactive Displays/Whiteboards,MH
QUES011,In which of the following product areas are you interested or involved? Please choose all that apply.,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,PRODUCTS,ENVIRONMENTAL  ,D
QUES011,In which of the following product areas are you interested or involved? Please choose all that apply.,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,PRODUCTS,Building Systems Automation and Management,DC
QUES011,In which of the following product areas are you interested or involved? Please choose all that apply.,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,PRODUCTS,Energy Monitoring & Management,DD
QUES011,In which of the following product areas are you interested or involved? Please choose all that apply.,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,PRODUCTS,Environmental Control,DE
QUES011,In which of the following product areas are you interested or involved? Please choose all that apply.,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,PRODUCTS,Motorized Window Coverings/Shades,DF
QUES011,In which of the following product areas are you interested or involved? Please choose all that apply.,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,PRODUCTS,INFRASTRUCTURE,E
QUES011,In which of the following product areas are you interested or involved? Please choose all that apply.,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,PRODUCTS,Cables/Connectors/Racks and Cable Management Accessories,EA
QUES011,In which of the following product areas are you interested or involved? Please choose all that apply.,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,PRODUCTS,Consoles/Furniture and Kiosks,EB
QUES011,In which of the following product areas are you interested or involved? Please choose all that apply.,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,PRODUCTS,Fiber Optic Systems,EC
QUES011,In which of the following product areas are you interested or involved? Please choose all that apply.,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,PRODUCTS,Mounts/Stands & Lifts,ED
QUES011,In which of the following product areas are you interested or involved? Please choose all that apply.,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,PRODUCTS,Network Cabling/Structured Wiring,EE
QUES011,In which of the following product areas are you interested or involved? Please choose all that apply.,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,PRODUCTS,Network Infrastructure/Network Switches,EH
QUES011,In which of the following product areas are you interested or involved? Please choose all that apply.,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,PRODUCTS,Plates/Panels & Wall Boxes,EF
QUES011,In which of the following product areas are you interested or involved? Please choose all that apply.,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,PRODUCTS,Power Distribution/Supplies & Cooling Systems,EG
QUES011,In which of the following product areas are you interested or involved? Please choose all that apply.,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,PRODUCTS,Test/Measurement & Monitoring Equipment,EJ
QUES011,In which of the following product areas are you interested or involved? Please choose all that apply.,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,PRODUCTS,Wireless Signal Processing,EK
QUES011,In which of the following product areas are you interested or involved? Please choose all that apply.,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,PRODUCTS,LIGHTING,F
